particle_id,x,y,z
4503599694479360,-132.518,-109.295,-842.6
4503599694479360,-113.687,-94.9819,-722.6
4503599694479360,-98.1063,-82.8702,-622.6
4503599694479360,-24.2401,-21.5977,-137.855
4503599660924928,19.6718,25.1829,-33.7641
4503599644147712,17.5863,26.8196,60.4527
4503599644147712,18.3706,28.044,62.0034
4503599694479360,-51.9234,-45.3055,-321.58
4503599677702144,32.3821,-59.4569,-29.1343
4503599677702144,33.0834,-60.8126,-30.3913
4503599660924928,41.6982,54.7618,-102.996
4503599644147712,36.6598,57.3151,98.7357
4503599677702144,53.1573,-101.044,-67.5615
4503599660924928,68.227,92.2063,-189.14
4503599644147712,59.86,96.6065,147.285
4503599644147712,60.7593,98.1823,149.215
4503599660924928,99.0444,138.816,-294.302
4503599644147712,87.2714,146.456,207.76
4503599677702144,76.5051,-151.516,-113.503
4503599694479360,-493.897,-314.503,-2947.5
4503599694479360,-422.428,-283.026,-2552.5
4503599694479360,-361.268,-252.786,-2207.5
4503599694479360,-298.814,-218.572,-1847.5
4503599694479360,-247.852,-188.048,-1547.5
4503599694479360,-206.242,-161.248,-1297.5
4503599660924928,308.222,620.943,-1297.5
4503599677702144,110.329,-234.227,-187.47
4503599660924928,146.108,216.966,-467.641
4503599644147712,126.414,225.666,301.65
4503599644147712,165.658,317.894,408.333
4503599677702144,142.736,-328.496,-269.883
4503599660924928,192.178,304.264,-655.689
4503599660924928,248.776,433.989,-923.667
4503599644147712,211.759,453.469,561.066
4503599677702144,179.226,-467.093,-388.312
4503599644147712,249.634,612.477,735.9
4503599677702144,205.821,-625.068,-520.63
4503599660924928,356.672,947.097,-1925.5
4503599660924928,356.554,944.469,-1920.5
4503599660924928,339.562,774.445,-1595.5
4503599660924928,339.157,771.82,-1590.45
4503599660990472,339.179,771.782,-1590.52
4503599644147712,270.633,767.534,903.11
4503599644147712,271.236,774.624,910.718
4503599677702144,217.43,-795.972,-662.479
4503599677702144,217.49,-802.59,-667.981
4503599677702144,217.172,-782.511,-651.299
4503599677702144,217.312,-789.188,-656.837
4503599644147712,275.451,986.274,1136.95
4503599644147712,276.021,972.857,1122.57
4503599644147712,275.733,980.108,1130.32
4503599677702144,206.245,-1010.41,-841.347
4503599677702144,208.409,-991.045,-825.051
4503599677702144,207.681,-997.742,-830.662
